Location,Type,Place,Duration,Hour of Day,Day of Week,Person
Basin,PIR,Bathroom,0:00:08,22,Monday,Person B
Door,PIR,Living,0:00:04,22,Monday,Person B
Seat,Pressure,Living,0:38:43,22,Monday,Person B
Door,PIR,Living,0:00:03,23,Monday,Person B
Door,PIR,Bedroom,0:00:03,23,Monday,Person B
Door,PIR,Bedroom,0:00:02,23,Monday,Person B
Toilet,Flush,Bathroom,0:01:08,23,Monday,Person B
Seat,Pressure,Living,1:39:14,23,Monday,Person B
Basin,PIR,Bathroom,0:00:33,1,Tuesday,Person B
Door,PIR,Bedroom,0:00:04,1,Tuesday,Person B
Bed,Pressure,Bedroom,7:20:43,1,Tuesday,Person B
Door,PIR,Bedroom,0:00:03,8,Tuesday,Person B
Door,PIR,Living,0:00:03,8,Tuesday,Person B
Door,PIR,Kitchen,0:00:05,8,Tuesday,Person B
Fridge,Magnetic,Kitchen,0:00:04,8,Tuesday,Person B
Microwave,Electric,Kitchen,0:01:41,8,Tuesday,Person B
Fridge,Magnetic,Kitchen,0:00:03,8,Tuesday,Person B
Door,PIR,Kitchen,0:00:02,9,Tuesday,Person B
Basin,PIR,Bathroom,0:00:03,9,Tuesday,Person B
Toilet,Flush,Bathroom,0:01:05,9,Tuesday,Person B
Basin,PIR,Bathroom,0:03:02,9,Tuesday,Person B
Basin,PIR,Bathroom,0:00:49,9,Tuesday,Person B
Basin,PIR,Bathroom,0:01:55,9,Tuesday,Person B
Maindoor,Magnetic,Entrance,0:00:06,9,Tuesday,Person B
Maindoor,Magnetic,Entrance,0:00:03,10,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,10,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,10,Tuesday,Person B
Door,PIR,Kitchen,0:00:04,10,Tuesday,Person B
Maindoor,Magnetic,Entrance,0:00:03,10,Tuesday,Person B
Maindoor,Magnetic,Entrance,0:00:04,13,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,13,Tuesday,Person B
Fridge,Magnetic,Kitchen,0:00:05,13,Tuesday,Person B
Fridge,Magnetic,Kitchen,0:00:03,13,Tuesday,Person B
Door,PIR,Kitchen,0:00:02,13,Tuesday,Person B
Toilet,Flush,Bathroom,0:00:45,14,Tuesday,Person B
Door,PIR,Kitchen,0:00:04,14,Tuesday,Person B
Door,PIR,Kitchen,0:00:04,14,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,14,Tuesday,Person B
Cupboard,Magnetic,Kitchen,0:00:02,14,Tuesday,Person B
Fridge,Magnetic,Kitchen,0:00:04,14,Tuesday,Person B
Cupboard,Magnetic,Kitchen,0:00:03,14,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,14,Tuesday,Person B
Door,PIR,Living,0:00:03,14,Tuesday,Person B
Door,PIR,Living,0:00:02,14,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,14,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,14,Tuesday,Person B
Door,PIR,Living,0:00:02,14,Tuesday,Person B
Seat,Pressure,Living,1:06:29,14,Tuesday,Person B
Door,PIR,Living,0:00:03,15,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,15,Tuesday,Person B
Door,PIR,Living,0:00:03,16,Tuesday,Person B
Door,PIR,Living,0:00:03,16,Tuesday,Person B
Door,PIR,Living,0:00:04,16,Tuesday,Person B
Seat,Pressure,Living,0:54:02,16,Tuesday,Person B
Door,PIR,Living,0:00:03,17,Tuesday,Person B
Door,PIR,Bedroom,0:00:04,17,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,17,Tuesday,Person B
Door,PIR,Kitchen,0:00:02,17,Tuesday,Person B
Door,PIR,Living,0:00:04,17,Tuesday,Person B
Seat,Pressure,Living,0:16:43,17,Tuesday,Person B
Door,PIR,Living,0:00:03,17,Tuesday,Person B
Door,PIR,Living,0:00:03,17,Tuesday,Person B
Seat,Pressure,Living,0:22:21,17,Tuesday,Person B
Door,PIR,Living,0:00:03,18,Tuesday,Person B
Door,PIR,Living,0:00:04,18,Tuesday,Person B
Seat,Pressure,Living,0:22:02,18,Tuesday,Person B
Door,PIR,Living,0:00:02,18,Tuesday,Person B
Door,PIR,Kitchen,0:00:02,18,Tuesday,Person B
Door,PIR,Kitchen,0:00:11,19,Tuesday,Person B
Door,PIR,Kitchen,0:00:03,19,Tuesday,Person B
Toilet,Flush,Bathroom,0:00:57,19,Tuesday,Person B
Door,PIR,Living,0:00:01,19,Tuesday,Person B
Seat,Pressure,Living,3:04:31,19,Tuesday,Person B
Door,PIR,Living,0:00:04,22,Tuesday,Person B
Door,PIR,Bedroom,0:00:04,22,Tuesday,Person B
Door,PIR,Bedroom,0:00:02,22,Tuesday,Person B
Door,PIR,Living,0:00:04,23,Tuesday,Person B
Door,PIR,Living,0:00:03,23,Tuesday,Person B
Door,PIR,Kitchen,0:00:05,23,Tuesday,Person B
Microwave,Electric,Kitchen,0:03:46,23,Tuesday,Person B
Door,PIR,Kitchen,0:00:02,23,Tuesday,Person B
Door,PIR,Living,0:00:08,23,Tuesday,Person B
Basin,PIR,Bathroom,0:00:31,23,Tuesday,Person B
Door,PIR,Living,0:00:06,23,Tuesday,Person B
Seat,Pressure,Living,0:34:34,23,Tuesday,Person B
Toilet,Flush,Bathroom,0:00:48,0,Wednesday,Person B
Door,PIR,Bedroom,0:00:05,0,Wednesday,Person B
Bed,Pressure,Bedroom,4:41:34,0,Wednesday,Person B
Door,PIR,Bedroom,0:00:03,5,Wednesday,Person B
Basin,PIR,Bathroom,0:00:33,5,Wednesday,Person B
Door,PIR,Bedroom,0:00:04,5,Wednesday,Person B
Bed,Pressure,Bedroom,3:43:23,5,Wednesday,Person B
Door,PIR,Bedroom,0:00:05,9,Wednesday,Person B
Toilet,Flush,Bathroom,0:01:00,9,Wednesday,Person B
Door,PIR,Bedroom,0:00:04,9,Wednesday,Person B
Door,PIR,Bedroom,0:00:02,9,Wednesday,Person B
Door,PIR,Kitchen,0:00:04,9,Wednesday,Person B
Fridge,Magnetic,Kitchen,0:00:18,9,Wednesday,Person B
Microwave,Electric,Kitchen,0:01:29,9,Wednesday,Person B
Microwave,Electric,Kitchen,0:00:15,9,Wednesday,Person B
Door,PIR,Kitchen,0:00:03,9,Wednesday,Person B
Door,PIR,Bedroom,0:00:05,9,Wednesday,Person B
Door,PIR,Bedroom,0:00:05,9,Wednesday,Person B
Door,PIR,Living,0:00:03,9,Wednesday,Person B
Seat,Pressure,Living,1:13:38,9,Wednesday,Person B
Door,PIR,Living,0:00:03,10,Wednesday,Person B
Door,PIR,Kitchen,0:00:03,10,Wednesday,Person B
Fridge,Magnetic,Kitchen,0:00:06,10,Wednesday,Person B
Door,PIR,Kitchen,0:00:14,10,Wednesday,Person B
Door,PIR,Kitchen,0:00:02,10,Wednesday,Person B
Cupboard,Magnetic,Kitchen,0:00:02,10,Wednesday,Person B
Door,PIR,Kitchen,0:00:03,11,Wednesday,Person B
Door,PIR,Living,0:00:03,11,Wednesday,Person B
Seat,Pressure,Living,0:07:12,11,Wednesday,Person B
Door,PIR,Living,0:00:05,11,Wednesday,Person B
Door,PIR,Living,0:00:03,11,Wednesday,Person B
Seat,Pressure,Living,0:14:42,11,Wednesday,Person B
Door,PIR,Living,0:00:03,11,Wednesday,Person B
Basin,PIR,Bathroom,0:04:38,11,Wednesday,Person B
Shower,PIR,Bathroom,0:02:52,11,Wednesday,Person B
Basin,PIR,Bathroom,0:02:26,12,Wednesday,Person B
Basin,PIR,Bathroom,0:01:03,12,Wednesday,Person B
Basin,PIR,Bathroom,0:01:24,12,Wednesday,Person B
Door,PIR,Living,0:00:15,12,Wednesday,Person B
Door,PIR,Living,0:00:02,12,Wednesday,Person B
Door,PIR,Bedroom,0:00:04,12,Wednesday,Person B
Door,PIR,Bedroom,0:00:14,12,Wednesday,Person B
Door,PIR,Living,0:00:03,12,Wednesday,Person B
Seat,Pressure,Living,0:04:35,12,Wednesday,Person B
Door,PIR,Living,0:00:05,12,Wednesday,Person B
Maindoor,Magnetic,Entrance,0:00:05,12,Wednesday,Person B
Maindoor,Magnetic,Entrance,0:00:08,12,Wednesday,Person B
Door,PIR,Living,0:00:03,12,Wednesday,Person B
Door,PIR,Living,0:00:03,12,Wednesday,Person B
Door,PIR,Kitchen,0:00:04,12,Wednesday,Person B
Maindoor,Magnetic,Entrance,0:00:07,12,Wednesday,Person B
Maindoor,Magnetic,Entrance,0:00:06,14,Wednesday,Person B
Door,PIR,Living,0:00:14,14,Wednesday,Person B
Maindoor,Magnetic,Entrance,0:00:07,14,Wednesday,Person B
Maindoor,Magnetic,Entrance,0:00:06,15,Wednesday,Person B
Door,PIR,Living,0:00:04,15,Wednesday,Person B
Seat,Pressure,Living,3:48:44,15,Wednesday,Person B
Door,PIR,Living,0:00:06,19,Wednesday,Person B
Door,PIR,Living,0:00:03,20,Wednesday,Person B
Seat,Pressure,Living,0:51:51,20,Wednesday,Person B
Door,PIR,Living,0:00:02,21,Wednesday,Person B
Door,PIR,Living,0:00:03,21,Wednesday,Person B
Door,PIR,Living,0:00:04,21,Wednesday,Person B
Door,PIR,Kitchen,0:00:05,21,Wednesday,Person B
Microwave,Electric,Kitchen,0:02:00,21,Wednesday,Person B
Cupboard,Magnetic,Kitchen,0:00:06,21,Wednesday,Person B
Door,PIR,Kitchen,0:00:02,21,Wednesday,Person B
Door,PIR,Living,0:00:03,21,Wednesday,Person B
Door,PIR,Living,0:00:03,21,Wednesday,Person B
Door,PIR,Kitchen,0:00:02,21,Wednesday,Person B
Microwave,Electric,Kitchen,0:00:11,21,Wednesday,Person B
Fridge,Magnetic,Kitchen,0:00:06,21,Wednesday,Person B
Fridge,Magnetic,Kitchen,0:00:03,21,Wednesday,Person B
Door,PIR,Kitchen,0:00:03,21,Wednesday,Person B
Door,PIR,Living,0:00:03,21,Wednesday,Person B
Seat,Pressure,Living,0:25:22,21,Wednesday,Person B
Door,PIR,Living,0:00:03,22,Wednesday,Person B
Door,PIR,Kitchen,0:00:04,22,Wednesday,Person B
Fridge,Magnetic,Kitchen,0:00:18,22,Wednesday,Person B
Door,PIR,Kitchen,0:00:02,22,Wednesday,Person B
Door,PIR,Living,0:00:04,22,Wednesday,Person B
Seat,Pressure,Living,0:45:51,22,Wednesday,Person B
Door,PIR,Living,0:00:02,23,Wednesday,Person B
Seat,Pressure,Living,0:52:04,23,Wednesday,Person B
Basin,PIR,Bathroom,0:00:08,0,Thursday,Person B
Door,PIR,Bedroom,0:00:05,0,Thursday,Person B
Bed,Pressure,Bedroom,0:28:04,0,Thursday,Person B
Door,PIR,Bedroom,0:00:06,0,Thursday,Person B
Bed,Pressure,Bedroom,0:02:02,0,Thursday,Person B
Door,PIR,Bedroom,0:00:03,0,Thursday,Person B
Door,PIR,Living,0:00:09,0,Thursday,Person B
Seat,Pressure,Living,1:10:11,0,Thursday,Person B
Door,PIR,Living,0:00:07,1,Thursday,Person B
Door,PIR,Bedroom,0:00:02,1,Thursday,Person B
Bed,Pressure,Bedroom,5:49:03,1,Thursday,Person B
Door,PIR,Bedroom,0:00:03,7,Thursday,Person B
Toilet,Flush,Bathroom,0:00:41,7,Thursday,Person B
Door,PIR,Bedroom,0:00:03,7,Thursday,Person B
Bed,Pressure,Bedroom,1:39:36,7,Thursday,Person B
Door,PIR,Bedroom,0:00:05,9,Thursday,Person B
Door,PIR,Living,0:00:03,9,Thursday,Person B
Door,PIR,Kitchen,0:00:04,9,Thursday,Person B
Fridge,Magnetic,Kitchen,0:00:18,9,Thursday,Person B
Microwave,Electric,Kitchen,0:01:36,9,Thursday,Person B
Door,PIR,Kitchen,0:00:04,9,Thursday,Person B
Door,PIR,Living,0:00:03,9,Thursday,Person B
Basin,PIR,Bathroom,0:00:05,9,Thursday,Person B
Door,PIR,Bedroom,0:00:03,9,Thursday,Person B
Door,PIR,Bedroom,0:00:03,9,Thursday,Person B
Basin,PIR,Bathroom,0:03:05,9,Thursday,Person B
Basin,PIR,Bathroom,0:01:58,10,Thursday,Person B
Door,PIR,Kitchen,0:00:06,10,Thursday,Person B
Door,PIR,Kitchen,0:00:02,10,Thursday,Person B
Seat,Pressure,Living,0:53:09,10,Thursday,Person B
Maindoor,Magnetic,Entrance,0:00:23,11,Thursday,Person B
Maindoor,Magnetic,Entrance,0:00:08,13,Thursday,Person B
Door,PIR,Kitchen,0:00:02,13,Thursday,Person B
Seat,Pressure,Living,1:10:34,13,Thursday,Person B
Door,PIR,Living,0:00:04,14,Thursday,Person B
Door,PIR,Kitchen,0:00:02,14,Thursday,Person B
Cupboard,Magnetic,Kitchen,0:00:03,14,Thursday,Person B
Door,PIR,Kitchen,0:00:04,14,Thursday,Person B
Door,PIR,Living,0:00:03,14,Thursday,Person B
Door,PIR,Living,0:00:05,15,Thursday,Person B
Door,PIR,Kitchen,0:00:02,15,Thursday,Person B
Fridge,Magnetic,Kitchen,0:00:03,15,Thursday,Person B
Door,PIR,Kitchen,0:00:03,15,Thursday,Person B
Door,PIR,Living,0:00:03,15,Thursday,Person B
Door,PIR,Living,0:00:02,15,Thursday,Person B
Door,PIR,Kitchen,0:00:03,15,Thursday,Person B
Fridge,Magnetic,Kitchen,0:00:05,15,Thursday,Person B
Door,PIR,Kitchen,0:00:03,15,Thursday,Person B
Door,PIR,Living,0:00:02,15,Thursday,Person B
Door,PIR,Living,0:00:04,15,Thursday,Person B
Maindoor,Magnetic,Entrance,0:00:11,15,Thursday,Person B
Maindoor,Magnetic,Entrance,0:00:07,20,Thursday,Person B
Door,PIR,Kitchen,0:00:03,22,Thursday,Person B
Door,PIR,Kitchen,0:00:02,22,Thursday,Person B
Door,PIR,Living,0:00:03,22,Thursday,Person B
Door,PIR,Living,0:00:02,22,Thursday,Person B
Door,PIR,Kitchen,0:00:02,22,Thursday,Person B
Microwave,Electric,Kitchen,0:04:01,22,Thursday,Person B
Cupboard,Magnetic,Kitchen,0:00:10,22,Thursday,Person B
Door,PIR,Kitchen,0:00:04,22,Thursday,Person B
Door,PIR,Living,0:00:03,0,Friday,Person B
Basin,PIR,Bathroom,0:00:07,0,Friday,Person B
Door,PIR,Living,0:00:02,0,Friday,Person B
Door,PIR,Bedroom,0:00:02,0,Friday,Person B
Bed,Pressure,Bedroom,9:37:21,0,Friday,Person B
Door,PIR,Bedroom,0:00:03,10,Friday,Person B
Door,PIR,Kitchen,0:00:04,10,Friday,Person B
Fridge,Magnetic,Kitchen,0:00:02,10,Friday,Person B
Microwave,Electric,Kitchen,0:00:54,10,Friday,Person B
Door,PIR,Kitchen,0:00:02,10,Friday,Person B
Shower,PIR,Bathroom,0:03:10,11,Friday,Person B
Basin,PIR,Bathroom,0:03:13,11,Friday,Person B
Basin,PIR,Bathroom,0:01:51,11,Friday,Person B
Basin,PIR,Bathroom,0:07:42,11,Friday,Person B
Door,PIR,Living,0:00:02,12,Friday,Person B
Door,PIR,Kitchen,0:00:01,12,Friday,Person B
Fridge,Magnetic,Kitchen,0:00:06,12,Friday,Person B
Door,PIR,Kitchen,0:00:02,12,Friday,Person B
Maindoor,Magnetic,Entrance,0:00:06,12,Friday,Person B
Maindoor,Magnetic,Entrance,0:00:06,12,Friday,Person B
Door,PIR,Bedroom,0:00:02,12,Friday,Person B
Door,PIR,Living,0:00:03,12,Friday,Person B
Seat,Pressure,Living,0:53:58,12,Friday,Person B
Door,PIR,Living,0:00:04,13,Friday,Person B
Door,PIR,Kitchen,0:00:04,13,Friday,Person B
Door,PIR,Living,0:00:05,14,Friday,Person B
Door,PIR,Kitchen,0:00:03,14,Friday,Person B
Cupboard,Magnetic,Kitchen,0:00:07,14,Friday,Person B
Door,PIR,Kitchen,0:00:04,14,Friday,Person B
Door,PIR,Living,0:00:03,14,Friday,Person B
Door,PIR,Living,0:00:03,14,Friday,Person B
Door,PIR,Kitchen,0:00:03,14,Friday,Person B
Door,PIR,Kitchen,0:00:03,14,Friday,Person B
Door,PIR,Living,0:00:04,14,Friday,Person B
Door,PIR,Living,0:00:03,14,Friday,Person B
Door,PIR,Kitchen,0:00:03,14,Friday,Person B
Door,PIR,Kitchen,0:00:02,14,Friday,Person B
Door,PIR,Living,0:00:03,14,Friday,Person B
Door,PIR,Living,0:00:03,14,Friday,Person B
Door,PIR,Kitchen,0:00:26,14,Friday,Person B
Door,PIR,Kitchen,0:00:02,14,Friday,Person B
Toilet,Flush,Bathroom,0:01:28,15,Friday,Person B
Maindoor,Magnetic,Entrance,0:00:07,15,Friday,Person B
Maindoor,Magnetic,Entrance,0:00:05,18,Friday,Person B
Door,PIR,Living,0:00:04,18,Friday,Person B
Door,PIR,Living,0:00:03,18,Friday,Person B
Toilet,Flush,Bathroom,0:00:57,18,Friday,Person B
Door,PIR,Living,0:00:03,18,Friday,Person B
Door,PIR,Living,0:00:03,18,Friday,Person B
Door,PIR,Kitchen,0:00:05,18,Friday,Person B
Fridge,Magnetic,Kitchen,0:00:11,18,Friday,Person B
Door,PIR,Kitchen,0:00:03,18,Friday,Person B
Door,PIR,Living,0:00:03,18,Friday,Person B
Seat,Pressure,Living,1:58:48,18,Friday,Person B
Door,PIR,Living,0:00:03,20,Friday,Person B
Door,PIR,Kitchen,0:00:08,20,Friday,Person B
Door,PIR,Kitchen,0:00:02,20,Friday,Person B
Door,PIR,Living,0:00:04,20,Friday,Person B
Seat,Pressure,Living,0:08:36,20,Friday,Person B
Door,PIR,Living,0:00:03,20,Friday,Person B
Door,PIR,Kitchen,0:00:04,20,Friday,Person B
Door,PIR,Kitchen,0:00:02,20,Friday,Person B
Door,PIR,Living,0:00:03,20,Friday,Person B
Seat,Pressure,Living,1:02:47,20,Friday,Person B
Door,PIR,Living,0:00:05,21,Friday,Person B
Basin,PIR,Bathroom,0:00:26,22,Friday,Person B
Basin,PIR,Bathroom,0:03:07,2,Saturday,Person B
Door,PIR,Bedroom,0:00:04,2,Saturday,Person B
Bed,Pressure,Bedroom,7:09:21,2,Saturday,Person B
Door,PIR,Bedroom,0:00:05,9,Saturday,Person B
Toilet,Flush,Bathroom,0:01:05,9,Saturday,Person B
Door,PIR,Living,0:00:03,9,Saturday,Person B
Door,PIR,Kitchen,0:00:04,9,Saturday,Person B
Fridge,Magnetic,Kitchen,0:00:06,9,Saturday,Person B
Fridge,Magnetic,Kitchen,0:00:03,9,Saturday,Person B
Microwave,Electric,Kitchen,0:01:30,9,Saturday,Person B
Door,PIR,Kitchen,0:00:04,10,Saturday,Person B
Basin,PIR,Bathroom,0:04:05,10,Saturday,Person B
Basin,PIR,Bathroom,0:05:10,10,Saturday,Person B
Basin,PIR,Bathroom,0:03:17,10,Saturday,Person B
Maindoor,Magnetic,Entrance,0:00:08,10,Saturday,Person B
Maindoor,Magnetic,Entrance,0:00:07,12,Saturday,Person B
Basin,PIR,Bathroom,0:07:50,12,Saturday,Person B
Door,PIR,Living,0:00:03,12,Saturday,Person B
Seat,Pressure,Living,1:21:18,12,Saturday,Person B
Door,PIR,Living,0:00:03,14,Saturday,Person B
Door,PIR,Kitchen,0:00:05,14,Saturday,Person B
Door,PIR,Kitchen,0:00:02,14,Saturday,Person B
Door,PIR,Living,0:00:03,14,Saturday,Person B
Seat,Pressure,Living,0:20:57,14,Saturday,Person B
Door,PIR,Living,0:00:03,14,Saturday,Person B
Maindoor,Magnetic,Entrance,0:00:03,14,Saturday,Person B
Maindoor,Magnetic,Entrance,0:00:05,16,Saturday,Person B
Door,PIR,Bedroom,0:00:03,16,Saturday,Person B
Basin,PIR,Bathroom,0:00:09,16,Saturday,Person B
Door,PIR,Living,0:00:03,16,Saturday,Person B
Door,PIR,Living,0:00:03,16,Saturday,Person B
Door,PIR,Kitchen,0:00:03,16,Saturday,Person B
Door,PIR,Kitchen,0:00:03,16,Saturday,Person B
Door,PIR,Living,0:00:03,16,Saturday,Person B
Seat,Pressure,Living,0:54:20,16,Saturday,Person B
Door,PIR,Living,0:00:02,17,Saturday,Person B
Door,PIR,Living,0:00:04,17,Saturday,Person B
Door,PIR,Living,0:00:03,18,Saturday,Person B
Door,PIR,Living,0:00:03,18,Saturday,Person B
Door,PIR,Living,0:00:04,19,Saturday,Person B
Door,PIR,Kitchen,0:00:02,19,Saturday,Person B
Door,PIR,Kitchen,0:00:09,19,Saturday,Person B
Door,PIR,Living,0:00:03,19,Saturday,Person B
Seat,Pressure,Living,0:35:20,19,Saturday,Person B
Door,PIR,Living,0:00:03,19,Saturday,Person B
Door,PIR,Kitchen,0:00:03,19,Saturday,Person B
Door,PIR,Kitchen,0:00:03,19,Saturday,Person B
Door,PIR,Living,0:00:03,19,Saturday,Person B
Seat,Pressure,Living,0:42:40,19,Saturday,Person B
Door,PIR,Living,0:00:03,20,Saturday,Person B
Door,PIR,Kitchen,0:00:09,20,Saturday,Person B
Microwave,Electric,Kitchen,0:00:47,20,Saturday,Person B
Door,PIR,Kitchen,0:00:07,20,Saturday,Person B
Door,PIR,Living,0:00:04,20,Saturday,Person B
Door,PIR,Living,0:00:03,20,Saturday,Person B
Door,PIR,Kitchen,0:00:04,20,Saturday,Person B
Microwave,Electric,Kitchen,0:00:07,20,Saturday,Person B
Door,PIR,Kitchen,0:00:06,20,Saturday,Person B
Toilet,Flush,Bathroom,0:01:09,20,Saturday,Person B
Basin,PIR,Bathroom,0:00:28,20,Saturday,Person B
Door,PIR,Bedroom,0:00:01,20,Saturday,Person B
Door,PIR,Bedroom,0:00:04,20,Saturday,Person B
Basin,PIR,Bathroom,0:01:01,20,Saturday,Person B
Door,PIR,Living,0:00:03,0,Sunday,Person B
Seat,Pressure,Living,0:53:00,0,Sunday,Person B
Door,PIR,Living,0:00:03,1,Sunday,Person B
Door,PIR,Bedroom,0:00:07,1,Sunday,Person B
Bed,Pressure,Bedroom,7:16:15,1,Sunday,Person B
Door,PIR,Bedroom,0:00:04,8,Sunday,Person B
Door,PIR,Living,0:00:04,8,Sunday,Person B
Toilet,Flush,Bathroom,0:01:02,9,Sunday,Person B
Door,PIR,Kitchen,0:00:03,9,Sunday,Person B
Fridge,Magnetic,Kitchen,0:00:05,9,Sunday,Person B
Microwave,Electric,Kitchen,0:01:33,9,Sunday,Person B
Fridge,Magnetic,Kitchen,0:00:02,9,Sunday,Person B
Door,PIR,Kitchen,0:00:02,9,Sunday,Person B
Shower,PIR,Bathroom,0:07:37,9,Sunday,Person B
Basin,PIR,Bathroom,0:09:28,9,Sunday,Person B
Basin,PIR,Bathroom,0:03:37,9,Sunday,Person B
Maindoor,Magnetic,Entrance,0:00:03,9,Sunday,Person B
Maindoor,Magnetic,Entrance,0:00:05,10,Sunday,Person B
Door,PIR,Living,0:00:03,10,Sunday,Person B
Seat,Pressure,Living,0:11:24,10,Sunday,Person B
Door,PIR,Living,0:00:03,10,Sunday,Person B
Maindoor,Magnetic,Entrance,0:00:02,10,Sunday,Person B
Maindoor,Magnetic,Entrance,0:00:04,14,Sunday,Person B
Door,PIR,Living,0:00:02,14,Sunday,Person B
Door,PIR,Living,0:00:03,14,Sunday,Person B
Door,PIR,Living,0:00:03,14,Sunday,Person B
Door,PIR,Kitchen,0:00:03,14,Sunday,Person B
Cupboard,Magnetic,Kitchen,0:00:10,14,Sunday,Person B
Door,PIR,Kitchen,0:00:04,14,Sunday,Person B
Door,PIR,Living,0:00:03,14,Sunday,Person B
Door,PIR,Living,0:00:03,14,Sunday,Person B
Door,PIR,Kitchen,0:00:06,14,Sunday,Person B
Door,PIR,Kitchen,0:00:03,14,Sunday,Person B
Door,PIR,Living,0:00:04,14,Sunday,Person B
Door,PIR,Living,0:00:03,17,Sunday,Person B
Door,PIR,Kitchen,0:00:03,17,Sunday,Person B
Door,PIR,Kitchen,0:00:02,17,Sunday,Person B
Door,PIR,Living,0:00:02,17,Sunday,Person B
Door,PIR,Living,0:00:03,17,Sunday,Person B
Seat,Pressure,Living,0:37:45,17,Sunday,Person B
Door,PIR,Living,0:00:03,18,Sunday,Person B
Door,PIR,Kitchen,0:00:02,18,Sunday,Person B
Door,PIR,Kitchen,0:00:04,18,Sunday,Person B
Door,PIR,Living,0:00:06,18,Sunday,Person B
Door,PIR,Living,0:00:02,18,Sunday,Person B
Door,PIR,Kitchen,0:00:04,18,Sunday,Person B
Door,PIR,Kitchen,0:00:07,18,Sunday,Person B
Door,PIR,Living,0:00:03,18,Sunday,Person B
Seat,Pressure,Living,0:14:50,18,Sunday,Person B
Door,PIR,Living,0:00:03,18,Sunday,Person B
Door,PIR,Living,0:00:04,18,Sunday,Person B
Seat,Pressure,Living,0:45:33,18,Sunday,Person B
Door,PIR,Living,0:00:03,19,Sunday,Person B
Door,PIR,Kitchen,0:00:07,19,Sunday,Person B
Maindoor,Magnetic,Entrance,0:00:08,19,Sunday,Person B
Maindoor,Magnetic,Entrance,0:00:07,22,Sunday,Person B
Door,PIR,Kitchen,0:00:02,22,Sunday,Person B
Fridge,Magnetic,Kitchen,0:00:06,22,Sunday,Person B
Fridge,Magnetic,Kitchen,0:00:04,22,Sunday,Person B
Door,PIR,Kitchen,0:00:02,22,Sunday,Person B
Door,PIR,Living,0:00:03,22,Sunday,Person B
Door,PIR,Living,0:00:03,22,Sunday,Person B
Door,PIR,Bedroom,0:00:09,22,Sunday,Person B
Basin,PIR,Bathroom,0:03:59,22,Sunday,Person B
Basin,PIR,Bathroom,0:02:05,22,Sunday,Person B
Door,PIR,Living,0:00:03,22,Sunday,Person B
Door,PIR,Living,0:00:03,23,Sunday,Person B
Door,PIR,Kitchen,0:00:06,23,Sunday,Person B
Door,PIR,Kitchen,0:00:04,23,Sunday,Person B
Door,PIR,Living,0:00:03,23,Sunday,Person B
Door,PIR,Living,0:00:02,23,Sunday,Person B
Basin,PIR,Bathroom,0:00:02,23,Sunday,Person B
Door,PIR,Living,0:00:03,23,Sunday,Person B
Seat,Pressure,Living,1:00:46,23,Sunday,Person B
Toilet,Flush,Bathroom,0:00:41,0,Monday,Person B
Door,PIR,Bedroom,0:00:04,0,Monday,Person B
Bed,Pressure,Bedroom,9:53:34,0,Monday,Person B
Door,PIR,Bedroom,0:00:07,10,Monday,Person B
Toilet,Flush,Bathroom,0:01:10,10,Monday,Person B
Door,PIR,Kitchen,0:00:04,10,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:04,10,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:04,10,Monday,Person B
Microwave,Electric,Kitchen,0:02:21,10,Monday,Person B
Fridge,Magnetic,Kitchen,0:00:18,10,Monday,Person B
Door,PIR,Kitchen,0:00:03,10,Monday,Person B
Door,PIR,Living,0:00:14,10,Monday,Person B
Door,PIR,Living,0:00:03,10,Monday,Person B
Seat,Pressure,Living,0:51:16,10,Monday,Person B
Door,PIR,Living,0:00:05,11,Monday,Person B
Basin,PIR,Bathroom,0:01:22,11,Monday,Person B
Basin,PIR,Bathroom,0:02:38,11,Monday,Person B
Shower,PIR,Bathroom,0:06:56,12,Monday,Person B
Toilet,Flush,Bathroom,0:00:54,12,Monday,Person B
Basin,PIR,Bathroom,0:00:19,12,Monday,Person B
Door,PIR,Living,0:00:03,12,Monday,Person B
Basin,PIR,Bathroom,0:03:45,12,Monday,Person B
Door,PIR,Living,0:00:03,12,Monday,Person B
Seat,Pressure,Living,1:43:25,12,Monday,Person B
Door,PIR,Living,0:00:02,14,Monday,Person B
Basin,PIR,Bathroom,0:00:23,14,Monday,Person B
Door,PIR,Living,0:00:03,14,Monday,Person B
Basin,PIR,Bathroom,0:00:01,14,Monday,Person B
Door,PIR,Bedroom,0:00:10,14,Monday,Person B
Door,PIR,Bedroom,0:00:02,14,Monday,Person B
Maindoor,Magnetic,Entrance,0:00:03,14,Monday,Person B
Maindoor,Magnetic,Entrance,0:00:04,15,Monday,Person B
Door,PIR,Living,0:00:02,15,Monday,Person B
Door,PIR,Living,0:00:03,15,Monday,Person B
